,Purchaser Name
549,KAUSHALENDER AGGARWAL 
550,KAUSTUBH VERMA 
551,KAYPEE ENTERPRISES 
552,KB DEALERS LLP 
553,KCR ENTERPRISE LLP 
554,KEC INTERNATIONAL LIMITED 
555,KEJRIWAL MIINIING PRIVATE LIMITED 
556,KEVENTER FOODPARK INFRA LIMITED 
557,KEYSTONE REALTORS PVT LTD 
558,KHANDKE WIND ENERGY PRIVATE LIMITED 
559,KHUSHBU AGGARWAL 
560,KIRAN MAZUMDAR SHAW 
561,KIRITI VENTURES PRIVATE LIMITED 
562,KIRTAN AJMERA 
563,KISHAN F.L. BOND HOUSE 
564,KISHAN M AGARWAL 
565,KISHAN M AGARWAL HUF 
566,KISHAN MIRANIA AGARWAL 
567,KITEX CHILDRENSWEAR LTD 
568,KITEX GARMENTS LIMITED 
569,KM DEALERS LLP 
570,KMK DEVELOPERS PVT LTD ASHISH BHAS 
571,KNR CONSTRUCTIONS LTD 
572,KONARK RAJENDRA SHAH 
573,KONERU RAVITEJA 
574,KOTESWAR RAO GULLAPALLY 
575,KOYA AND COMPANY CONSTRUCTION LTD 
576,KRBL LTD 
577,KRISHNA SHEET PROCESSORS PVT LTD 
578,KULWANT SINGH 
579,KUNAL GUPTA 
580,KUSUM MAROTI 
581,KVR BASELINE RESOURCES PRIVATE LIMI 
582,L S DAVAR AND CO 
583,L7 HITECH PRIVATE LIMITED 
584,LAKSHMI MEDICALS 
585,LAKSHMI NIWAS MITTAL 
586,LALIT GULATI 
587,LALITPUR POWER GENERATION COMPANY LIMITED 
588,LAURELSECURITIESPVTLTD 
589,LAXMI CIVIL ENGINEERING SERVICES PR 
590,LAXMI INDUSTRIAL BOTTLING PLAN 
591,LAXMI INDUSTRIAL BOTTLING PLANT 
592,LAXMIDAS VALLABHDAS ASMITA MERCHA 
593,LCCPROJECTSPRIVATELIMITED 
594,LEPTON SOFTWARE EXPORT AND RESEARCH PRIVATE LTD 
595,LEVOC FINANCE PVT LTD 
596,LIFELINE MARKETING PRIVATE LIMITED 
597,LILAC MERCHANDISE PRIVATE LIMITED 
598,LOKESH KUMAR 
599,LOTUS TEXPARK LIMITED FORMERLY LOTUS INT EGRATED TEXPARK LTD 
600,LOUISIANA INVESTMENT FINANCE PVT 
601,LPF SYSTEMS PRIVATE LIMITED 
602,LUCINA LAND DEVELOPMENT LIMITED 
603,LULU INDIA SHOPPING MALL PRIVATE LI 
604,LUMAX INDUSTRIES LIMITED 
605,LUPIN LIMITED 
606,M M YARNS PVT LTD 
607,M R F LIMITED 
608,M S JUGENDRA SINGH AND COMPANY 
609,M S VARAS INTERNATIONAL PVT LTD 
610,M/S KAMAL ISPAT 
611,M/S T S WIND POWER DEVELOPERS 
612,"M/S VISION SECURITY SERVICES, PROP-MAJOR DEVENDRA NATH DAS "
613,M/S. K.D. LIQUOR FERTILIZER PRIVATE L 
614,M/S. RAMESH AGARWAL C S BOTTLING PL 
615,M/SGAURAV INTERNATIONAL 
616,M/SKJS AHLUWALIA 
617,MAATHA PROJECTS LLP 
618,MADAMAGERI SOLAR POWER PROJECT LLP 
619,MADANLAL LTD. 
620,MADHUMITA SAH 
621,MADHYA PRADESH WASTE MANAGEMENT PR 
622,MADHYA PRADESH WASTE MANAGEMENT PRI 
623,MAGARPATTA TOWNSHIP DEV AND CONST C 
624,MAHABIR BANKA 
625,MAHALAXMI VIDYUT PVT.LTD. 
626,MAHAVIRA VINCOM PRIVATE LIMITED 
627,MAHENDRA SPONGE AND POWER LIMITED 
628,MAHESH NARAYAN KHADE 
629,MAHINDRA & MAHINDRA LTD 
630,MAITHRI LABORATORIES (PVT) LTD 
631,MAKARAND PLANTATIONS PVT LIMITED 
632,MANDADI RAMULU 
